epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9615,1.51943,4.47428,1.37483,0.20839,0.11724,0.04971,0.03525,1.47237,3.6831,1.33331,0.000103656,0.000103656,0.000103656
2,81.8862,1.3867,3.54239,1.26725,0.21741,0.18382,0.10202,0.07436,1.32565,3.1912,1.33282,0.00020593,0.00020593,0.00020593
3,119.11,1.29771,3.05345,1.24515,0.41963,0.23102,0.21378,0.15561,1.29292,2.88743,1.31201,0.000306139,0.000306139,0.000306139
4,156.662,1.25474,2.79739,1.22892,0.2901,0.32368,0.25699,0.18808,1.25509,2.79074,1.29848,0.000303704,0.000303704,0.000303704
5,193.915,1.20832,2.59419,1.20405,0.35577,0.34023,0.29116,0.21066,1.23757,2.62662,1.28075,0.000300605,0.000300605,0.000300605
6,231.108,1.18741,2.45223,1.1974,0.39931,0.35541,0.33801,0.24542,1.25643,2.57066,1.27699,0.000297507,0.000297507,0.000297507
7,268.24,1.17022,2.38537,1.18237,0.31048,0.37845,0.32109,0.23514,1.23398,2.6199,1.24144,0.000294408,0.000294408,0.000294408
8,305.287,1.13956,2.30101,1.16948,0.45177,0.36209,0.36923,0.26519,1.24231,2.43563,1.25426,0.000291309,0.000291309,0.000291309
9,342.475,1.12624,2.252,1.1601,0.3836,0.41838,0.37373,0.2743,1.23465,2.36596,1.25356,0.00028821,0.00028821,0.00028821
10,379.184,1.1216,2.16296,1.15922,0.4264,0.37782,0.35203,0.24679,1.33547,2.50793,1.3073,0.000285112,0.000285112,0.000285112
11,416.803,1.11448,2.10184,1.14754,0.42363,0.42349,0.39487,0.28284,1.24968,2.40325,1.26976,0.000282013,0.000282013,0.000282013
12,454.158,1.09953,2.06966,1.13905,0.43754,0.44373,0.41206,0.30785,1.17626,2.24232,1.22291,0.000278914,0.000278914,0.000278914
13,491.17,1.08501,1.9986,1.13479,0.42594,0.46598,0.40824,0.30042,1.20516,2.31199,1.25968,0.000275816,0.000275816,0.000275816
14,528.554,1.08013,1.98602,1.13134,0.4489,0.43304,0.41741,0.31013,1.17024,2.24366,1.21793,0.000272717,0.000272717,0.000272717
15,565.632,1.06972,1.93312,1.12661,0.48621,0.43495,0.44253,0.33667,1.16756,2.23886,1.2299,0.000269618,0.000269618,0.000269618
16,602.875,1.0612,1.91057,1.12223,0.4863,0.4424,0.41863,0.31016,1.20723,2.34415,1.25001,0.00026652,0.00026652,0.00026652
17,640.27,1.04753,1.83741,1.11763,0.47089,0.43917,0.41993,0.31558,1.20318,2.31445,1.24841,0.000263421,0.000263421,0.000263421
18,677.598,1.03926,1.83744,1.11247,0.4941,0.4272,0.43462,0.32647,1.17427,2.23307,1.23857,0.000260322,0.000260322,0.000260322
19,714.46,1.03534,1.80777,1.10772,0.49459,0.40437,0.41737,0.30901,1.25256,2.41871,1.29032,0.000257223,0.000257223,0.000257223
20,751.709,1.03856,1.79277,1.11003,0.48709,0.4472,0.44632,0.33792,1.1941,2.23613,1.23827,0.000254125,0.000254125,0.000254125
21,788.226,1.02956,1.74658,1.1032,0.53153,0.44596,0.45904,0.3466,1.18464,2.14708,1.22583,0.000251026,0.000251026,0.000251026
22,825.052,1.01823,1.75203,1.09759,0.4667,0.43552,0.43688,0.32645,1.2009,2.31177,1.25743,0.000247927,0.000247927,0.000247927
23,862.01,1.00945,1.69367,1.09548,0.49116,0.47356,0.46531,0.3449,1.21194,2.17689,1.24703,0.000244829,0.000244829,0.000244829
24,899.116,1.01267,1.68432,1.09069,0.54571,0.45676,0.47088,0.35254,1.16817,2.18119,1.22869,0.00024173,0.00024173,0.00024173
25,936.066,1.00358,1.66018,1.08998,0.53945,0.46991,0.47044,0.35558,1.18104,2.2057,1.22235,0.000238631,0.000238631,0.000238631
26,972.303,0.9925,1.64585,1.08378,0.49355,0.4311,0.45823,0.35008,1.15282,2.24601,1.22157,0.000235533,0.000235533,0.000235533
27,1009.06,0.9977,1.6202,1.08342,0.48705,0.46343,0.45271,0.34095,1.20316,2.26555,1.24495,0.000232434,0.000232434,0.000232434
28,1046.13,0.98787,1.61032,1.07871,0.59982,0.43934,0.47676,0.36331,1.17157,2.17762,1.22834,0.000229335,0.000229335,0.000229335
29,1083.76,0.98368,1.57158,1.07168,0.54607,0.45049,0.47552,0.36143,1.16858,2.1776,1.22249,0.000226236,0.000226236,0.000226236
30,1122.74,0.976,1.55479,1.07139,0.50467,0.44805,0.46661,0.35393,1.20283,2.29218,1.24699,0.000223138,0.000223138,0.000223138
31,1160.55,0.96492,1.53111,1.06733,0.54883,0.47263,0.48592,0.36709,1.18816,2.2394,1.24034,0.000220039,0.000220039,0.000220039
32,1197.48,0.97756,1.52535,1.07325,0.54841,0.43646,0.47226,0.36042,1.19227,2.20353,1.23696,0.00021694,0.00021694,0.00021694
33,1235.4,0.96971,1.51179,1.06816,0.54213,0.43842,0.46705,0.35545,1.18406,2.2797,1.23261,0.000213842,0.000213842,0.000213842
34,1272.03,0.96776,1.48051,1.07223,0.54383,0.45354,0.45816,0.3401,1.24717,2.28455,1.27606,0.000210743,0.000210743,0.000210743
35,1308.65,0.96191,1.47622,1.05998,0.55421,0.43712,0.47998,0.36597,1.17192,2.26016,1.22622,0.000207644,0.000207644,0.000207644
36,1345.67,0.96026,1.46132,1.0619,0.56663,0.44272,0.48433,0.36487,1.20422,2.30869,1.2435,0.000204545,0.000204545,0.000204545
37,1382.51,0.94965,1.43197,1.05532,0.5212,0.46385,0.48671,0.36591,1.18353,2.25823,1.22756,0.000201447,0.000201447,0.000201447
38,1419.5,0.94782,1.42391,1.05348,0.56585,0.45021,0.48438,0.3748,1.16974,2.23752,1.23113,0.000198348,0.000198348,0.000198348
39,1456.41,0.9404,1.40672,1.05239,0.45985,0.48355,0.46441,0.35717,1.19034,2.32777,1.24379,0.000195249,0.000195249,0.000195249
40,1493.16,0.94511,1.40171,1.05741,0.50282,0.43122,0.45966,0.3532,1.19309,2.39382,1.23352,0.000192151,0.000192151,0.000192151
41,1529.84,0.93101,1.36143,1.04407,0.50713,0.44344,0.4628,0.35624,1.2256,2.29961,1.25349,0.000189052,0.000189052,0.000189052
42,1567.16,0.93922,1.3686,1.04418,0.48122,0.48859,0.48459,0.37147,1.16923,2.24128,1.22781,0.000185953,0.000185953,0.000185953
43,1604.34,0.92659,1.35509,1.04075,0.51714,0.44537,0.45703,0.3522,1.19063,2.36684,1.24648,0.000182855,0.000182855,0.000182855
44,1641.24,0.9151,1.33108,1.03999,0.52924,0.43518,0.46048,0.35178,1.20225,2.32663,1.24007,0.000179756,0.000179756,0.000179756
45,1678.01,0.9216,1.32847,1.03987,0.51869,0.41791,0.46013,0.35194,1.22368,2.42807,1.26266,0.000176657,0.000176657,0.000176657
46,1715.15,0.92505,1.3387,1.04575,0.48017,0.44319,0.47065,0.36075,1.18021,2.29395,1.23933,0.000173559,0.000173559,0.000173559
47,1752.14,0.91431,1.30113,1.03875,0.53638,0.44752,0.46941,0.35868,1.19278,2.365,1.24739,0.00017046,0.00017046,0.00017046
48,1789.49,0.90966,1.26931,1.03845,0.48388,0.46964,0.46139,0.35137,1.19929,2.33795,1.25011,0.000167361,0.000167361,0.000167361
49,1826.64,0.91683,1.28083,1.03798,0.49844,0.44662,0.4506,0.34081,1.243,2.38198,1.27805,0.000164262,0.000164262,0.000164262
50,1863.11,0.90914,1.26076,1.03285,0.48034,0.47017,0.46282,0.35349,1.2436,2.41568,1.28477,0.000161164,0.000161164,0.000161164
51,1899.37,0.89434,1.24087,1.03048,0.51028,0.45893,0.47372,0.36392,1.18915,2.35896,1.24975,0.000158065,0.000158065,0.000158065
52,1936.32,0.90505,1.24839,1.0294,0.45613,0.48305,0.46695,0.35844,1.19409,2.41308,1.25734,0.000154966,0.000154966,0.000154966
53,1972.82,0.89394,1.21853,1.02386,0.54781,0.43973,0.47102,0.36742,1.18236,2.37939,1.24405,0.000151868,0.000151868,0.000151868
54,2009.43,0.89281,1.20637,1.02498,0.5026,0.45592,0.47076,0.36409,1.18898,2.3609,1.24693,0.000148769,0.000148769,0.000148769
55,2046.79,0.88424,1.18162,1.01846,0.4886,0.46683,0.46706,0.36054,1.20366,2.36399,1.2647,0.00014567,0.00014567,0.00014567
56,2083.8,0.88256,1.19156,1.02158,0.48877,0.44672,0.45975,0.35045,1.21539,2.49182,1.27157,0.000142572,0.000142572,0.000142572
57,2120.62,0.88479,1.17647,1.02303,0.59279,0.43367,0.47594,0.36672,1.19459,2.38052,1.25464,0.000139473,0.000139473,0.000139473
58,2157.16,0.88665,1.16542,1.02213,0.47122,0.46619,0.45576,0.35076,1.21503,2.46454,1.27831,0.000136374,0.000136374,0.000136374
59,2194.1,0.8893,1.17386,1.02097,0.53247,0.46399,0.4751,0.36506,1.23644,2.44693,1.28327,0.000133275,0.000133275,0.000133275
60,2230.39,0.8833,1.16435,1.02127,0.49376,0.45914,0.46423,0.35938,1.17404,2.44606,1.24678,0.000130177,0.000130177,0.000130177
61,2266.82,0.87488,1.14818,1.0171,0.52753,0.44051,0.46877,0.36182,1.19275,2.45653,1.26043,0.000127078,0.000127078,0.000127078
62,2303.83,0.87572,1.14444,1.01383,0.53726,0.44608,0.45991,0.35328,1.20331,2.39642,1.26617,0.000123979,0.000123979,0.000123979
63,2340.76,0.87112,1.13626,1.01563,0.52037,0.44428,0.45171,0.35232,1.19547,2.5561,1.25403,0.000120881,0.000120881,0.000120881
64,2378.94,0.86539,1.10758,1.01017,0.51545,0.44667,0.46267,0.36066,1.18362,2.51477,1.24879,0.000117782,0.000117782,0.000117782
65,2416.09,0.86912,1.10139,1.01173,0.57773,0.42002,0.45205,0.35313,1.20797,2.59939,1.26863,0.000114683,0.000114683,0.000114683
66,2453.57,0.85998,1.09287,1.00977,0.57234,0.43121,0.46233,0.35686,1.19014,2.43623,1.25629,0.000111585,0.000111585,0.000111585
67,2491.06,0.85196,1.08445,1.00482,0.5159,0.47422,0.4693,0.36471,1.18993,2.5094,1.25002,0.000108486,0.000108486,0.000108486
68,2528.74,0.86,1.07502,1.00791,0.51182,0.44223,0.45425,0.35319,1.19742,2.53988,1.26191,0.000105387,0.000105387,0.000105387
69,2565.91,0.84553,1.06262,0.99855,0.4761,0.4492,0.45542,0.34816,1.22068,2.55766,1.2728,0.000102288,0.000102288,0.000102288
70,2602.62,0.84964,1.04729,1.00423,0.51186,0.42623,0.45442,0.35315,1.21946,2.59124,1.27226,9.91897e-05,9.91897e-05,9.91897e-05
71,2639.94,0.85371,1.05809,1.00407,0.47268,0.47378,0.46354,0.36096,1.19136,2.58251,1.25206,9.6091e-05,9.6091e-05,9.6091e-05
72,2676.47,0.84723,1.05422,1.00268,0.56484,0.42457,0.46353,0.3611,1.19645,2.55435,1.25569,9.29923e-05,9.29923e-05,9.29923e-05
73,2713.51,0.84738,1.04673,1.00109,0.45878,0.47896,0.45272,0.35288,1.22552,2.52645,1.27853,8.98936e-05,8.98936e-05,8.98936e-05
74,2750.73,0.84401,1.03044,0.99891,0.51972,0.45658,0.46941,0.36407,1.20423,2.52037,1.27094,8.67949e-05,8.67949e-05,8.67949e-05
75,2788.04,0.85436,1.04592,1.00464,0.48263,0.47559,0.46066,0.36019,1.19929,2.51446,1.26371,8.36962e-05,8.36962e-05,8.36962e-05
76,2824.97,0.83706,1.01732,0.99889,0.5254,0.45092,0.47086,0.36815,1.18725,2.57572,1.25959,8.05975e-05,8.05975e-05,8.05975e-05
77,2861.93,0.83811,1.02279,0.99793,0.48906,0.48765,0.47083,0.36507,1.19719,2.53452,1.25617,7.74988e-05,7.74988e-05,7.74988e-05
78,2899.95,0.8353,1.00532,0.99579,0.53494,0.45438,0.46501,0.36023,1.19374,2.54327,1.2723,7.44001e-05,7.44001e-05,7.44001e-05
79,2937.08,0.83261,0.99401,0.9923,0.47695,0.47069,0.45615,0.35417,1.2134,2.59576,1.28692,7.13014e-05,7.13014e-05,7.13014e-05
80,2975.78,0.82872,0.98284,0.9942,0.52862,0.44136,0.45961,0.357,1.21707,2.61953,1.2788,6.82027e-05,6.82027e-05,6.82027e-05
81,3012.48,0.83535,0.99697,0.99566,0.5355,0.44688,0.46288,0.36313,1.187,2.59484,1.25674,6.5104e-05,6.5104e-05,6.5104e-05
82,3049.16,0.82535,0.9754,0.98897,0.53072,0.44318,0.46436,0.362,1.18819,2.63074,1.26023,6.20053e-05,6.20053e-05,6.20053e-05
